,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.14564099888572787,0.08548833101040862,0.2107816362458529,0.10240021051792529
1,3,0.19532432779764927,0.11571132698330533,0.2744810293410187,0.13618682279559907
2,6,0.2076007660797759,0.12337161773979308,0.29069026013226873,0.14495318629273907
3,9,0.21340837234964524,0.12660467428386799,0.29703451533415126,0.14843348055521313
4,12,0.216062561688706,0.12829204808449662,0.3005822122265751,0.1502820958533702
5,15,0.21702321409224742,0.12908576592318843,0.30285001416246016,0.1514151524110281
6,18,0.2179351168029118,0.12941206375002157,0.30338474678263255,0.15176418834299238
7,21,0.21932528153798758,0.13025401155972344,0.30490941261969595,0.1525956818565994
8,24,0.21970360549720136,0.13032498395966108,0.30555516499168445,0.15274093600234273
9,27,0.21933600889382535,0.13049644159203597,0.30559362670143536,0.15298777569545283
10,30,0.220477154297153,0.13073854276268837,0.3058947424919233,0.15304977914761164
11,33,0.21996508975485943,0.1311427396524195,0.30609739843849887,0.15366006805208543
12,36,0.2201867014954069,0.1311285884400898,0.306896265759606,0.15372055254735165
13,39,0.22075144892018275,0.13160411155050988,0.30746209641731087,0.15421468654880696
14,42,0.2205033882784711,0.13152163253153165,0.30706787900959726,0.15411272776910434
15,45,0.2211425901859496,0.13206314721929538,0.30819974753308366,0.15477599223366484
16,48,0.22211351183679692,0.13225681793138108,0.3074020523632053,0.15455060684740377
17,Final,0.2222884453290314,0.1324111646891789,0.3083496741221752,0.15488181489622446
