,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.056919202781979567,0.04803229412616113,0.09401939187380338,0.06158647224753126
1,3,0.07075831839174967,0.060226440137265684,0.11503984555712353,0.07638839247056803
2,6,0.07982168946290626,0.06820858284144501,0.12888143013438158,0.08612206420390603
3,9,0.08576559959949308,0.07343278541468327,0.13744471420949889,0.09231103019336309
4,12,0.08913582164876453,0.07665922528285778,0.14330403794387314,0.09642335181745827
5,15,0.09191291626842443,0.0788296278329331,0.14752226953138267,0.09914184409227936
6,18,0.0941004107091116,0.08065998689778539,0.14992081666686227,0.1009741497013976
7,21,0.09552977380062669,0.08194774112278727,0.15193288438105404,0.10245372669374778
8,24,0.09637920348257946,0.08272411815043866,0.15262309070913999,0.1031807068144569
9,27,0.09694704963383324,0.08328455978739426,0.154414202976761,0.10414561325649888
10,30,0.09708486293044769,0.08377024271861279,0.15494821869910058,0.10482941083248729
11,33,0.09761951760683375,0.08408678787988318,0.15585821365762104,0.10530097904476562
12,36,0.09792650163684403,0.0843419548544252,0.1560200220423015,0.10551933662395718
13,39,0.09867410915242658,0.08478187725768628,0.15682335233020092,0.10595904867266268
14,42,0.09864966394785253,0.08480607425107628,0.1562885731834873,0.10583034404811759
15,45,0.09888941533987665,0.08525898935807762,0.1571108430270765,0.10651345268073362
16,48,0.09888968060779589,0.08520457919637364,0.15744313627533343,0.10650373243723098
17,51,0.09902646004637787,0.08535428860811296,0.15739354972508612,0.10656074194294801
18,54,0.09949283337919819,0.08543806943944908,0.15757136383775805,0.10656606926781256
19,57,0.09953643773352865,0.08565201712881802,0.15824730351394223,0.10700299129006365
20,60,0.09959656423915055,0.0858164128983771,0.1582642062098558,0.10716818083630428
21,63,0.10015521598618432,0.08591502683310727,0.15817427157056352,0.10706576301797807
22,66,0.0997791028399912,0.08596593709405995,0.15864944423005706,0.10740364200020676
23,69,0.10017556382337897,0.08607293081156474,0.15820790007296381,0.10721515703218659
24,72,0.10011116779185453,0.08604312688425336,0.15825422033081923,0.1072152139022455
25,75,0.09991990940563639,0.08600473263392262,0.15892598733263835,0.10748645907365584
26,78,0.10004170693186952,0.08592024055686133,0.15885811711986234,0.10734622357532153
27,81,0.0999228828421316,0.08611853963679378,0.15880904429463982,0.10753362567096379
28,84,0.09959257472070751,0.08610539465897263,0.1584268734167779,0.10751512627981188
29,87,0.09995265007829247,0.08619676575251928,0.15839376050540824,0.10746398955940963
30,90,0.09983025206925673,0.08607101778636667,0.1592437569670977,0.10767220870369813
31,93,0.09994099175805816,0.08614833315196291,0.15861946480668745,0.1074147676577789
32,96,0.10019797261198034,0.08630127309324868,0.15864910250976,0.10750058034271569
33,99,0.10037914737442236,0.08628662396282938,0.15854321899012705,0.10750223800173761
34,Final,0.10037914737442236,0.08628662396282938,0.15854321899012705,0.10750223800173761
