,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.03224224894958495,0.022091656342719118,0.05233062123136593,0.029102886318583217
1,3,0.06132650834524909,0.04340665282053393,0.09457195057383928,0.05498367810242958
2,6,0.07213634278873271,0.05128627975036897,0.1104282141722306,0.06462102241469839
3,9,0.07686946448879459,0.054833269561028936,0.1185220502837961,0.0692740328486661
4,12,0.0794138984835283,0.056792723913479524,0.12318750927037976,0.07194793237507532
5,15,0.08113735702059338,0.05799690455806703,0.124805929237827,0.07316786300941305
6,18,0.08244122986895658,0.058864221778725585,0.12666152539813227,0.07420794425254891
7,21,0.08307272757868801,0.05944970433089247,0.12759663005230448,0.07492580198515623
8,24,0.08337500269059286,0.05974976244039573,0.12920706008252036,0.07561167707583359
9,27,0.0842007921558528,0.06008307157857784,0.12888175192446968,0.07560344974936198
10,Final,0.08430932585103981,0.060163409959880294,0.1294573171860251,0.07585332391109133
