,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.06131962917547534,0.051452558281044086,0.10051644194061965,0.06587486794087613
1,3,0.0740133673931909,0.06258446010190925,0.12044543770029492,0.07957003009888378
2,6,0.08231556600287282,0.06987219542096888,0.1322358294961929,0.08815129891962706
3,9,0.08729606219636325,0.07448794670675428,0.139972675659,0.09378067430622707
4,12,0.09012190247664284,0.07699296640679167,0.1452418277140958,0.09718910928734413
5,15,0.0931312702849605,0.07950652984743957,0.14896892681261187,0.09991887617820955
6,18,0.09453027308925167,0.08069827599007247,0.15150872328251166,0.10147583233844766
7,21,0.09616994993123884,0.08191537108820308,0.15280266805944465,0.10260914311090372
8,24,0.09689632259387952,0.08264626570881765,0.1540117667241598,0.10347634976382133
9,27,0.09765971509832591,0.08329149760483899,0.15499874146698225,0.10423424848558108
10,30,0.09794613940860192,0.08348631189643835,0.15566221800655997,0.10462836373861414
11,33,0.09796826968232579,0.08369217989651734,0.155815717911125,0.10487326431756155
12,36,0.09864574425868523,0.08438401347439017,0.15685881462136375,0.10562987368426299
13,39,0.09866811015067843,0.08453296848105182,0.15684085163794997,0.10580324133354499
14,42,0.09888660410479372,0.0846675833629508,0.15719823600885258,0.10599960448485067
15,45,0.09919918992579761,0.08478054574769177,0.15744652732847383,0.10610430376417712
16,48,0.09941753601982474,0.08505810671416679,0.15832677560008246,0.10656231738741509
17,51,0.09960878456497309,0.08524141452427741,0.15741120870735129,0.1064385337190284
18,54,0.09956683370316229,0.08541973675546895,0.1582558362924674,0.10684694511697639
19,57,0.09945322478697766,0.08534219199576841,0.15836394377608673,0.106862717720681
20,60,0.09943319782292045,0.08545675175807727,0.15830513539750307,0.10701759727138067
21,63,0.09961366554156703,0.08557901199491709,0.15844009214812066,0.10706928707538149
22,66,0.099586511137944,0.08558993305538079,0.15856807089142672,0.10715911223784845
23,69,0.09988249833079918,0.08593025580007091,0.15823454847829854,0.10728113262031631
24,72,0.10024746258240914,0.08604550233216872,0.15877127662439022,0.10743303719140887
25,75,0.1003955192476739,0.08620629040665634,0.1583129075585533,0.10739812162080484
26,78,0.10004152377711743,0.08593338615016412,0.1590109382281338,0.10759839368534665
27,81,0.10016748865030083,0.08611736192657703,0.15936285465174613,0.10781733986815424
28,84,0.10021016326357172,0.0862028081375124,0.1591506907956919,0.10783964141526378
29,87,0.1006215126956428,0.0864578108814748,0.1593247790853385,0.10796424498227297
30,90,0.10046166571905882,0.08645278644840637,0.15930468770178705,0.10797542883135622
31,93,0.10047558874144848,0.08631060701182577,0.15945957270756192,0.10791083428897945
32,96,0.10044125550702028,0.08629637885645594,0.1590821251361772,0.10776747789957244
33,99,0.10037022243926681,0.0863696840252743,0.15953050509612374,0.10801145756203366
34,Final,0.10037022243926681,0.0863696840252743,0.15953050509612374,0.10801145756203366
