,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.059589430084562515,0.05009441998811586,0.09836251298200381,0.06438537069785719
1,3,0.0797262314368764,0.0676028561552089,0.12945729778426643,0.08583768799581958
2,6,0.08878236482089409,0.0755042268632895,0.14254247951987875,0.09521403371570943
3,9,0.0932781071452765,0.0796727051886579,0.1491349606623079,0.10008261080932115
4,12,0.09555440102623802,0.08179007026776149,0.1528943298212455,0.102721474092298
5,15,0.09728180114778402,0.08339146651384867,0.15455205302805256,0.10428546344681407
6,18,0.09807349032076898,0.08411147475419478,0.15610140896433766,0.1052328718053069
7,21,0.09869357982552938,0.08454177423538284,0.15703644252949936,0.1058897337093904
8,24,0.09966672364483405,0.08518362514499242,0.1572931334436572,0.10620558181808044
9,27,0.09960784610838991,0.08532230281875156,0.15837612175224883,0.10673414576715462
10,30,0.09967869482796844,0.08537880823789411,0.15855334947326413,0.10683547705755682
11,33,0.1001651775617861,0.0858735201484973,0.15859860959455804,0.1071664601446334
12,36,0.10016546101682552,0.08579022066903742,0.15890758781043618,0.10719616188460407
13,39,0.1001435876174685,0.08583663721361469,0.15950098830314155,0.10750566737348895
14,42,0.10016010104467182,0.08586718899487863,0.15922277911002394,0.10743135274057607
15,45,0.100439510102166,0.08633536199365195,0.15899410061860372,0.10767172528834242
16,48,0.10062465086940788,0.08628141486454952,0.15909696858399802,0.10763852369464523
17,51,0.10052165290673903,0.08645759926597488,0.15965825098978276,0.10798739765370505
18,54,0.10056640048869327,0.08643656831651715,0.15951387159871153,0.10790923907131894
19,57,0.10080169916017567,0.08661331881577307,0.15977653210376921,0.10810839166351452
20,60,0.10073507472051466,0.08644158219145742,0.15936962689735978,0.10784389564126905
21,63,0.10071081235999503,0.08668355703719417,0.15913121440786296,0.10801313035058767
22,66,0.10095190414949443,0.0868517560545087,0.16046098609432946,0.10853549558242534
23,69,0.10095617502210674,0.08687540056480006,0.15971475925203105,0.10834602042968278
24,72,0.10101975860262881,0.08684271117884688,0.15975702061153838,0.10828262059151592
25,75,0.1009098008549117,0.08677879434161294,0.15988431931601627,0.10831278162988422
26,78,0.10118132009280725,0.08693992595978589,0.15972210410691517,0.10835282739779159
27,81,0.1005164971498685,0.08653270354024119,0.16013986895651924,0.1083093216722103
28,84,0.10090081711555643,0.08671183073812848,0.1604632974873242,0.10844569346752918
29,87,0.10098273613874949,0.08677374081471717,0.16041005539307748,0.10842910148633532
30,90,0.10077450595370419,0.08676282570637107,0.15983026413403195,0.10830088164055182
31,93,0.10077116508568836,0.08666318842378228,0.15988716226724342,0.1082308047415775
32,96,0.1007107587025344,0.0866576398658284,0.15990656607290904,0.10823253670391192
33,99,0.10129426859785794,0.08689934163271852,0.16010122862918086,0.10832409729537477
34,Final,0.10129426859785794,0.08689934163271852,0.16010122862918086,0.10832409729537477
