,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.059336284281828015,0.05007976026549854,0.09793093443913373,0.06425428633089174
1,3,0.08642359676638585,0.07315348766110377,0.1395524587042951,0.0926303381119765
2,6,0.0920052349616646,0.07827195857728114,0.14764334346508043,0.09852547607609025
3,9,0.09378799457480809,0.07994149484940802,0.15129200238749532,0.10082039781280065
4,12,0.09463385065160457,0.08105050401660242,0.1531000854344337,0.102255174777294
5,15,0.09611674074809197,0.08203716649388662,0.15374761571010714,0.10302784884837478
6,18,0.09664951607050226,0.08260362655597846,0.15450675373146058,0.10365519846862793
7,21,0.09713952055921045,0.08290883516812207,0.15451775071539134,0.10378170432324767
8,24,0.09769247319686396,0.0833909958756138,0.15577191182298133,0.1045463844998311
9,27,0.09766912091652041,0.08353722488314529,0.1559601958445844,0.10466476736585201
10,30,0.09765383478701048,0.08343813024442763,0.15644002196014065,0.10478485825041045
11,33,0.09781492518979504,0.08364056242940164,0.1562853378305592,0.10482863552934116
12,36,0.09784729916171475,0.08366712191513596,0.15654872529188482,0.10491021969744202
13,39,0.09765091870275452,0.0837175517171812,0.15635683903771705,0.1049227974481826
14,42,0.097806755530724,0.08374899060967891,0.15666497486204053,0.10511311676432875
15,45,0.09821066476489747,0.0840647449166701,0.15677356359062877,0.10527629367208054
16,48,0.09826311352578977,0.08405509123548814,0.1570671283894117,0.10527245953294395
17,51,0.09795179627440018,0.08385775030004944,0.15704853490593698,0.10520914203559459
18,54,0.09810795315596607,0.0838758769429062,0.15697868052648636,0.1052084243373742
19,57,0.09814353425872185,0.08397324183029643,0.1577531060069549,0.10549994613094427
20,60,0.0981509557834911,0.08374622179734527,0.15728837575120758,0.10518623519724382
21,63,0.09842899262111159,0.08392450481922888,0.15729269494671494,0.10521413744950368
22,66,0.09838795865444037,0.08393323264799323,0.15715943437117275,0.10520671014027794
23,69,0.09831006089326841,0.08400480313376973,0.1576009284874671,0.10546242613227959
24,72,0.09851761900211942,0.08397538525476124,0.1575184706983461,0.1053520700214793
25,75,0.09870871381916543,0.08398340635218692,0.15690269542836452,0.1051391377072117
26,78,0.09854157718332082,0.08399730728531,0.1573386035379606,0.10530971667599684
27,81,0.09854167432303715,0.08395316223284194,0.15717395636067824,0.10517912235972018
28,84,0.0985055514686474,0.08415922883184972,0.1573508277954578,0.10545628295999868
29,87,0.09864107575185918,0.0841556290423478,0.15730998187998593,0.10541501227339403
30,90,0.09869774374919753,0.08410914326432933,0.15707653214596837,0.1052203778491288
31,93,0.0986863378320085,0.08417137638971113,0.1572269733772216,0.10534152151110376
32,96,0.09860867340137369,0.0841786139978335,0.15711540350419723,0.10537092092331349
33,99,0.09835074124624985,0.08417196272163469,0.15709084240333607,0.10541765164695402
34,Final,0.09835074124624985,0.08417196272163469,0.15709084240333607,0.10541765164695402
