,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.040830066989084444,0.02828140595023356,0.0652606164832657,0.03674934491884728
1,3,0.07127370407077444,0.05048096669378631,0.10990378681001498,0.0638991663731037
2,6,0.07856245469513488,0.05599564523580443,0.12156211507323088,0.07082748504458025
3,9,0.081750113488366,0.05805900025326498,0.1260866025934618,0.07335978052056545
4,12,0.08345926566559675,0.059391252346699314,0.12799421904384967,0.07484737203436595
5,15,0.08445246276418254,0.06010847604492918,0.1288731434146791,0.0755574820307035
6,18,0.08563997237808511,0.06084387399736897,0.13027686576404943,0.07635259288802466
7,21,0.08584104765389287,0.06123004878627182,0.13072524236836663,0.0767950504328822
8,24,0.08640778808496917,0.061459748492487205,0.13146503629894427,0.0770967089582713
9,27,0.08647644872277366,0.0617041343737429,0.13149239795907522,0.07734027889433095
10,Final,0.08632009440792325,0.061509161029592564,0.13223712405660443,0.0774203234151138
